date,high,low,open,close,adjust,volume
2016-12-09,41.35,40.8,40.9,40.9,8.44,2565360
2016-12-12,40.9,40.5,40.85,40.7,8.4,2412750
2016-12-13,40.85,40.3,40.7,40.55,8.36,2718280
2016-12-14,41.8,40.55,40.55,41.65,8.59,2781270
2016-12-15,41.7,41.1,41.6,41.3,8.52,1852580
2016-12-16,42.1,41.2,41.2,41.8,8.62,3688380
2016-12-19,42.15,41.35,41.8,41.5,8.56,2478510
2016-12-20,41.75,41.25,41.5,41.3,8.52,1334730
2016-12-21,42.15,41.4,41.5,41.9,8.64,2405340
2016-12-22,43.2,42.0,42.1,42.5,8.77,6149040
2016-12-23,43.2,42.1,42.5,42.95,8.86,4268440
2016-12-26,43.85,43.3,43.4,43.8,9.03,3826190
2016-12-27,43.9,43.15,43.8,43.15,8.9,3831250
2016-12-28,43.75,43.15,43.2,43.6,8.99,3467160
2016-12-29,43.65,43.2,43.5,43.2,8.91,2021280
2016-12-30,43.45,43.15,43.2,43.15,8.9,1969290
2017-01-03,44.15,43.2,44.0,44.0,9.08,3119660
2017-01-04,44.5,43.85,44.3,44.0,9.08,2446300
2017-01-05,44.3,44.0,44.05,44.1,9.1,3068500
2017-01-06,44.45,43.2,44.2,43.4,8.95,4204960
2017-01-09,43.6,42.95,43.5,43.15,8.9,2617980
2017-01-10,44.1,43.2,43.2,43.85,9.04,2985620
2017-01-11,44.0,43.5,43.85,44.0,9.08,1669830
2017-01-12,44.2,43.65,44.2,43.65,9.0,1836920
2017-01-13,43.65,43.2,43.5,43.2,8.91,2579390
2017-01-16,43.3,42.0,43.15,42.0,8.66,4140650
2017-01-17,42.45,41.75,42.0,42.0,8.66,2562530
2017-01-18,42.25,41.6,42.0,41.6,8.58,2902280
2017-01-19,41.85,41.25,41.3,41.45,8.55,1968870
2017-01-20,42.35,41.5,41.5,42.2,8.7,1186610
2017-01-23,42.5,42.0,42.1,42.0,8.66,1280100
2017-01-24,42.2,41.95,42.2,42.0,8.66,1167800
2017-01-25,42.55,42.0,42.0,42.3,8.73,927340
2017-02-02,42.7,42.2,42.5,42.7,8.81,1756550
2017-02-03,44.5,43.2,44.1,43.2,8.91,5400770
2017-02-06,44.1,43.2,43.5,44.1,9.1,4803140
2017-02-07,45.05,44.2,44.2,44.6,9.2,8767000
2017-02-08,44.8,44.3,44.8,44.65,9.21,3608350
2017-02-09,45.15,44.45,44.9,44.55,9.19,6052490
2017-02-10,44.9,44.35,44.45,44.35,9.15,4005140
2017-02-13,44.9,44.5,44.5,44.75,9.23,2291640
2017-02-14,45.5,44.8,45.0,45.1,9.3,4544800
2017-02-15,45.4,44.8,45.1,45.15,9.31,3767830
2017-02-16,45.35,44.7,45.35,44.7,9.22,4491020
2017-02-17,44.6,43.8,44.5,44.3,9.14,5439270
2017-02-20,42.9,41.6,42.8,42.0,8.66,13251990
2017-02-21,42.4,41.65,41.85,42.25,8.71,4324840
2017-02-22,42.35,40.0,42.2,40.2,8.29,7920920
2017-02-23,40.9,40.1,40.2,40.6,8.37,4987400
2017-02-24,40.75,40.1,40.5,40.45,8.34,2422300
2017-02-27,40.45,39.85,40.25,40.25,8.3,3949350
2017-02-28,40.7,40.0,40.5,40.0,8.25,2584610
2017-03-01,41.0,39.4,39.95,40.9,8.44,3802640
2017-03-02,42.05,40.9,41.1,42.0,8.66,8348230
2017-03-03,42.0,41.0,42.0,41.0,8.46,2679190
2017-03-06,41.5,40.8,41.0,41.2,8.5,2750640
2017-03-07,41.5,41.1,41.4,41.2,8.5,1917450
2017-03-08,41.3,41.1,41.2,41.25,8.51,2904610
2017-03-09,42.15,41.25,41.3,42.0,8.66,5028510
2017-03-10,43.0,41.95,42.1,42.1,8.68,6007990
2017-03-13,42.2,41.8,42.1,42.1,8.68,2169800
2017-03-14,42.2,42.0,42.2,42.05,8.67,1597180
2017-03-15,42.05,41.45,42.0,41.55,8.57,2675040
2017-03-16,41.9,41.7,41.8,41.8,8.62,988750
2017-03-17,42.15,41.3,41.9,41.3,8.52,4447530
2017-03-20,41.95,41.6,41.8,41.85,8.63,958720
2017-03-21,42.9,42.4,42.5,42.85,8.84,4602260
2017-03-22,43.1,42.3,43.0,42.4,8.75,2598780
2017-03-23,42.9,42.4,42.5,42.75,8.82,2599800
2017-03-24,43.1,42.75,43.0,43.05,8.88,2997330
2017-03-27,43.35,42.95,43.3,43.05,8.88,3248280
2017-03-28,43.2,42.6,43.0,42.95,8.86,2948930
2017-03-29,43.6,42.85,43.0,43.4,8.95,7205320
2017-03-30,30.35,29.5,29.8,29.95,9.27,8091460
2017-03-31,30.8,30.0,30.0,30.55,9.45,3540840
2017-04-03,32.0,30.65,30.7,31.95,9.88,4620760
2017-04-04,33.3,31.95,32.0,32.3,9.99,7988870
2017-04-05,32.05,31.4,32.0,31.45,9.73,4587810
2017-04-07,32.05,31.05,31.3,31.85,9.85,4327880
2017-04-10,32.05,31.6,32.0,31.95,9.88,4318150
2017-04-11,32.05,31.75,32.0,31.9,9.87,3139100
